phrase,count
tax,1199
trump,1099
america,941
year,918
cut,698
republican,556
house,503
president,480
tariff,454
spending,451
bill,434
policy,415
government,414
budget,371
china,356
rate,352
company,352
fiscal,337
tax cut,335
economic,321
federal,317
economy,310
state,309
billion,298
deficit,287
market,284
plan,280
price,279
growth,273
increase,268
administration,264
million,261
senate,259
trillion,251
country,235
cost,233
trade,233
month,229
higher,227
debt,223
time,218
inflation,218
make,216
term,209
investor,204
program,201
bank,201
official,196
day,196
change,195
week,194
income,193
dollar,193
security,193
money,189
economist,184
including,184
democrat,180
business,177
vote,176
american,175
congress,169
interest,168
party,168
treasury,164
work,163
recent,162
back,162
high,160
pay,160
biden,159
investment,157
white,154
medicaid,154
office,152
law,152
committee,151
leader,151
harris,150
data,148
white house,146
energy,145
agency,144
lower,142
stock,141
yield,140
top,140
social,137
group,136
national,136
benefit,136
part,136
bond,136
chinese,135
move,132
decade,132
big,132
financial,131
world,131
lawmaker,131
fund,131
made,130
border,130
president trump,127
credit,126
university,124
chief,124
election,123
long,122
support,122
share,121
spending cut,120
executive,119
job,117
worker,117
expected,117
revenue,114
local,113
consumer,112
former,111
funding,111
number,110
making,110
washington,110
gop,110
global,109
majority,109
interest rate,109
point,107
sale,107
department,106
analyst,106
past,105
measure,104
political,103
member,103
foreign,103
home,102
immigration,102
report,101
current,100
set,99
trump administration,99
service,98
risk,97
wednesday,97
campaign,97
low,97
city,95
friday,95
quarter,95
legislation,95
level,94
control,94
proposal,94
provision,94
household,93
defense,93
deduction,92
democratic,92
center,91
product,91
musk,91
called,90
street,90
earlier,89
major,89
demand,88
beijing,88
fiscal year,87
public,86
fed,86
budget deficit,86
real,85
wall,85
oil,85
military,85
voter,85
rep,85
research,84
estimate,84
effort,82
tuesday,81
deal,81
issue,81
york,81
child,81
force,80
capital,79
firm,79
concern,79
import,79
priority,79
director,79
adviser,78
based,78
industry,78
package,78
borrowing,78
wall street,78
effect,77
domestic,77
health,77
put,77
case,76
johnson,76
supply,75
hit,75
order,75
estate,75
social security,75
april,74
reduction,74
raise,74
run,73
early,73
good,73
late,73
limit,73
cap,73
donald,73
production,72
image,72
donald trump,72
proposed,71
decision,71
led,71
conservative,70
record,70
system,70
call,70
food,70
recently,69
line,69
reduce,69
india,69
export,69
economic growth,69
senior,68
largest,68
officer,68
agenda,68
potential,68
pas,68
roughly,67
project,67
israel,67
tax credit,67
show,66
idea,66
large,66
average,66
act,66
value,66
reserve,65
ahead,65
process,65
meeting,64
european,64
asset,64
cutting,63
rise,63
short,63
rule,63
employee,62
enlarge,62
student,62
enlarge image,62
labor,61
working,61
told,61
key,61
hard,61
step,61
result,61
biggest,61
finance,61
longer,61
tip,61
corporate,61
nation,60
rose,60
cash,60
held,60
property,60
house republican,60
power,59
fell,59
central,59
push,59
pressure,59
impact,59
manufacturing,59
extension,59
family,58
secretary,58
journal,58
earnings,58
profit,58
boost,58
net,58
bessent,58
coming,57
pandemic,57
forecast,56
monday,56
vice,56
target,56
include,56
migrant,56
rising,55
private,55
lot,55
add,55
full,55
technology,55
quickly,55
head,55
russia,55
break,55
index,54
crisis,54
mean,54
canada,54
immigrant,54
passed,54
ago,53
lead,53
thursday,53
place,53
start,53
international,53
projected,53
future,53
note,53
free,53
xi,53
staff,52
individual,52
court,52
close,52
state local,52
matter,51
july,51
commerce,51
person,51
europe,51
familiar,51
loan,51
return,51
strong,51
central bank,51
tax rate,51
comment,50
chairman,50
win,50
annual,50
additional,50
challenge,50
currency,50
instead,50
march,50
shift,50
vice president,50
school,49
compared,49
p,49
view,49
total,49
minister,49
mexico,49
provide,49
expire,49
senator,49
elect,49
position,48
spent,48
hold,48
car,48
fall,48
approach,48
presidential,48
sector,48
trading,48
loss,47
stimulus,47
helped,47
payment,47
clear,47
management,47
team,46
added,46
continue,46
extend,46
apple,46
chip,46
threat,46
ally,46
germany,46
operation,45
left,45
uncertainty,45
decline,45
problem,45
trudeau,45
chief executive,45
real estate,45
president elect,45
john,44
significant,44
wrote,44
raised,44
strategy,44
middle,44
insurance,44
canadian,44
action,44
authority,44
federal reserve,44
tax increase,44
institute,43
figure,43
board,43
sign,43
outlook,43
different,43
period,43
worry,43
includes,43
study,43
budget committee,43
june,42
taking,42
fear,42
small,42
reported,42
bring,42
cbo,42
recession,42
expiring,42
medium,41
despite,41
half,41
increased,41
union,41
infrastructure,41
leadership,41
request,41
larger,41
warned,41
focus,41
local tax,41
bls,40
track,40
september,40
remain,40
japan,40
assistance,40
air,40
expect,40
related,40
promise,40
standard,40
adani,40
final,39
general,39
mike,39
gap,39
auction,39
percentage,39
gain,39
debate,39
federal government,39
state local tax,39
focused,38
running,38
gross,38
gdp,38
ukraine,38
vehicle,38
chain,38
buy,38
hegseth,38
january,38
away,38
poll,38
housing,38
stop,38
way,38
biden administration,38
expiring tax,38
previously,37
announced,37
needed,37
barrel,37
region,37
build,37
building,37
started,37
grant,37
