cusip,issueDate,securityType,securityTerm,auctionDateYear,issueDate,maturityDate,datedDate,maturingDate,auctionFormat,closingTimeCompetitive,offeringAmount,allocationPercentage,totalTendered,totalAccepted,bidToCoverRatio,interestRate,highYield,lowYield,averageMedianYield,highDiscountRate,lowDiscountRate,highInvestmentRate,lowInvestmentRate,highPrice,lowPrice,pricePer100,updatedTimestamp
912810UR7,2026-02-17T00:00:00,Bond,30-Year,2026,2026-02-17T00:00:00,2056-02-15T00:00:00,2026-02-15T00:00:00,2026-02-15T00:00:00,Single-Price,01:00 PM,25000000000,,,,,,,,,,,,,,,,2026-02-04T08:32:12
91282CPZ8,2026-02-17T00:00:00,Note,10-Year,2026,2026-02-17T00:00:00,2036-02-15T00:00:00,2026-02-15T00:00:00,2026-02-15T00:00:00,Single-Price,01:00 PM,42000000000,,,,,,,,,,,,,,,,2026-02-04T08:34:57
91282CQA2,2026-02-17T00:00:00,Note,3-Year,2026,2026-02-17T00:00:00,2029-02-15T00:00:00,2026-02-15T00:00:00,2026-02-15T00:00:00,Single-Price,01:00 PM,58000000000,,,,,,,,,,,,,,,,2026-02-04T08:32:15
912797SY4,2026-02-10T00:00:00,Bill,4-Week,2026,2026-02-10T00:00:00,2026-03-10T00:00:00,,2026-02-10T00:00:00,Single-Price,11:30 AM,105000000000,,,,,,,,,,,,,,,,2026-02-03T11:01:57
912797TG2,2026-02-10T00:00:00,Bill,8-Week,2026,2026-02-10T00:00:00,2026-04-07T00:00:00,,2026-02-10T00:00:00,Single-Price,11:30 AM,95000000000,,,,,,,,,,,,,,,,2026-02-03T11:02:03
912797TZ0,2026-02-10T00:00:00,Bill,17-Week,2026,2026-02-10T00:00:00,2026-06-09T00:00:00,,2026-02-10T00:00:00,Single-Price,11:30 AM,69000000000,12.580000,205148876100,69201198100,2.970000,,,,,3.595000,3.485000,3.689000,,98.811653,,98.811653,2026-02-04T11:34:11
912797PV3,2026-02-05T00:00:00,Bill,6-Week,2026,2026-02-05T00:00:00,2026-03-19T00:00:00,,2026-02-05T00:00:00,Single-Price,11:30 AM,90000000000,21.370000,258360257100,94070991400,2.830000,,,,,3.640000,3.520000,3.706000,,99.575333,,99.575333,2026-02-03T11:32:59
912797SP3,2026-02-05T00:00:00,Bill,13-Week,2026,2026-02-05T00:00:00,2026-05-07T00:00:00,,2026-02-05T00:00:00,Single-Price,11:30 AM,89000000000,96.060000,254267506500,93026372900,2.810000,,,,,3.600000,3.495000,3.684000,,99.090000,,99.090000,2026-02-02T11:34:15
912797RG4,2026-02-05T00:00:00,Bill,26-Week,2026,2026-02-05T00:00:00,2026-08-06T00:00:00,,2026-02-05T00:00:00,Single-Price,11:30 AM,77000000000,73.030000,240358128100,80482092100,3.080000,,,,,3.525000,3.430000,3.639000,,98.217917,,98.217917,2026-02-02T11:34:16
912797ST5,2026-02-03T00:00:00,Bill,4-Week,2026,2026-02-03T00:00:00,2026-03-03T00:00:00,,2026-02-03T00:00:00,Single-Price,11:30 AM,105000000000,1.340000,300444110000,105389670000,2.860000,,,,,3.630000,3.500000,3.691000,,99.717667,,99.717667,2026-01-29T11:34:05
912797TB3,2026-02-03T00:00:00,Bill,8-Week,2026,2026-02-03T00:00:00,2026-03-31T00:00:00,,2026-02-03T00:00:00,Single-Price,11:30 AM,95000000000,9.360000,273042715700,95353212500,2.870000,,,,,3.635000,3.520000,3.706000,,99.434556,,99.434556,2026-01-29T11:34:06
91282CPY1,2026-02-02T00:00:00,Note,7-Year,2026,2026-02-02T00:00:00,2033-01-31T00:00:00,2026-01-31T00:00:00,2026-01-31T00:00:00,Single-Price,01:00 PM,44000000000,37.500000,111091185800,47100610800,2.450000,4.000000,4.0180,3.850000,3.960000,,,,,99.890756,,99.890756,2026-01-29T13:04:08
912797TU1,2026-02-03T00:00:00,Bill,17-Week,2026,2026-02-03T00:00:00,2026-06-02T00:00:00,,2026-02-03T00:00:00,Single-Price,11:30 AM,69000000000,45.620000,201888281200,69256467200,2.920000,,,,,3.590000,3.475000,3.684000,,98.813306,,98.813306,2026-01-28T11:34:50
91282CPX3,2026-02-02T00:00:00,Note,2-Year,2026,2026-02-02T00:00:00,2028-01-31T00:00:00,2026-01-31T00:00:00,2026-01-31T00:00:00,Single-Price,11:30 AM,30000000000,15.480000,97005496900,32114030900,3.160000,,,,,,,,,99.999817,,99.999817,2026-01-28T11:34:49
91282CPW5,2026-02-02T00:00:00,Note,5-Year,2026,2026-02-02T00:00:00,2031-01-31T00:00:00,2026-01-31T00:00:00,2026-01-31T00:00:00,Single-Price,01:00 PM,70000000000,27.680000,168535155600,74932771600,2.340000,3.750000,3.8230,3.710000,3.770000,,,,,99.670556,,99.670556,2026-01-27T13:04:11
912797SB4,2026-01-29T00:00:00,Bill,6-Week,2026,2026-01-29T00:00:00,2026-03-12T00:00:00,,2026-01-29T00:00:00,Single-Price,11:30 AM,90000000000,10.260000,241806722300,94159179900,2.640000,,,,,3.635000,3.520000,3.701000,,99.575917,,99.575917,2026-01-27T11:34:09
91282CGH8,2026-02-02T00:00:00,Note,2-Year,2026,2026-02-02T00:00:00,2028-01-31T00:00:00,2026-01-31T00:00:00,2026-01-31T00:00:00,Single-Price,01:00 PM,69000000000,52.250000,194579247800,73862272800,2.750000,3.500000,3.5800,3.490000,3.540000,,,,,99.846980,,99.846980,2026-01-26T13:15:30
912797SN8,2026-01-29T00:00:00,Bill,13-Week,2026,2026-01-29T00:00:00,2026-04-30T00:00:00,,2026-01-29T00:00:00,Single-Price,11:30 AM,89000000000,86.100000,261778680300,93112633000,2.900000,,,,,3.580000,3.485000,3.663000,,99.095056,,99.095056,2026-01-26T11:34:17
912797TQ0,2026-01-29T00:00:00,Bill,26-Week,2026,2026-01-29T00:00:00,2026-07-30T00:00:00,,2026-01-29T00:00:00,Single-Price,11:30 AM,77000000000,87.220000,239878658800,80558116800,3.070000,,,,,3.525000,3.430000,3.639000,,98.217917,,98.217917,2026-01-26T11:34:18
91282CPU9,2026-01-30T00:00:00,Note,10-Year,2026,2026-01-30T00:00:00,2036-01-15T00:00:00,2026-01-15T00:00:00,2026-01-30T00:00:00,Single-Price,01:00 PM,21000000000,28.670000,49898595800,21000013300,2.380000,1.875000,1.9400,1.800000,1.880000,,,,,99.193557,,99.193557,2026-01-22T13:04:15
912797SS7,2026-01-27T00:00:00,Bill,4-Week,2026,2026-01-27T00:00:00,2026-02-24T00:00:00,,2026-01-27T00:00:00,Single-Price,11:30 AM,105000000000,12.350000,300845000300,105283325300,2.860000,,,,,3.630000,3.500000,3.691000,,99.717667,,99.717667,2026-01-22T11:34:06
912797TA5,2026-01-27T00:00:00,Bill,8-Week,2026,2026-01-27T00:00:00,2026-03-24T00:00:00,,2026-01-27T00:00:00,Single-Price,11:30 AM,95000000000,17.700000,269910553200,95256925200,2.840000,,,,,3.630000,3.510000,3.701000,,99.435333,,99.435333,2026-01-22T11:34:05
912810UQ9,2026-02-02T00:00:00,Bond,19-Year 10-Month,2026,2026-02-02T00:00:00,2045-11-15T00:00:00,2025-11-15T00:00:00,2026-01-31T00:00:00,Single-Price,01:00 PM,13000000000,3.890000,38126091700,13916190200,2.860000,4.625000,4.8460,2.880000,4.806000,,,,,97.194489,,97.194489,2026-01-21T13:04:32
912797TT4,2026-01-27T00:00:00,Bill,17-Week,2026,2026-01-27T00:00:00,2026-05-26T00:00:00,,2026-01-27T00:00:00,Single-Price,11:30 AM,69000000000,50.470000,206162724600,69187675500,2.990000,,,,,3.580000,3.475000,3.673000,,98.816611,,98.816611,2026-01-21T11:34:05
912797RV1,2026-01-22T00:00:00,Bill,6-Week,2026,2026-01-22T00:00:00,2026-03-05T00:00:00,,2026-01-22T00:00:00,Single-Price,01:00 PM,85000000000,92.660000,208985092100,88693732100,2.420000,,,,,3.630000,3.490000,3.696000,,99.576500,,99.576500,2026-01-20T13:04:01
912797SM0,2026-01-22T00:00:00,Bill,13-Week,2026,2026-01-22T00:00:00,2026-04-23T00:00:00,,2026-01-22T00:00:00,Single-Price,11:30 AM,89000000000,52.270000,243879439500,92867670500,2.700000,,,,,3.590000,3.480000,3.673000,,99.092528,,99.092528,2026-01-20T11:34:09
912797TP2,2026-01-22T00:00:00,Bill,26-Week,2026,2026-01-22T00:00:00,2026-07-23T00:00:00,,2026-01-22T00:00:00,Single-Price,11:30 AM,77000000000,72.790000,230604166100,80346223600,2.950000,,,,,3.520000,3.395000,3.634000,,98.220444,,98.220444,2026-01-20T11:34:08
912797TM9,2026-01-22T00:00:00,Bill,52-Week,2026,2026-01-22T00:00:00,2027-01-21T00:00:00,,2026-01-22T00:00:00,Single-Price,01:00 PM,50000000000,29.550000,173117171400,52172746400,3.420000,,,,,3.390000,3.300000,3.528000,,96.572333,,96.572333,2026-01-20T13:04:00
912797SR9,2026-01-20T00:00:00,Bill,4-Week,2026,2026-01-20T00:00:00,2026-02-17T00:00:00,,2026-01-20T00:00:00,Single-Price,11:30 AM,95000000000,85.020000,277276098300,95266128300,2.920000,,,,,3.595000,3.500000,3.655000,,99.720389,,99.720389,2026-01-15T11:34:13
912797SZ1,2026-01-20T00:00:00,Bill,8-Week,2026,2026-01-20T00:00:00,2026-03-17T00:00:00,,2026-01-20T00:00:00,Single-Price,11:30 AM,90000000000,64.420000,244279196700,90252139700,2.710000,,,,,3.600000,3.500000,3.671000,,99.440000,,99.440000,2026-01-15T11:34:14
912797TS6,2026-01-20T00:00:00,Bill,17-Week,2026,2026-01-20T00:00:00,2026-05-19T00:00:00,,2026-01-20T00:00:00,Single-Price,11:30 AM,69000000000,43.950000,207282368300,69193273300,3.000000,,,,,3.560000,3.450000,3.652000,,98.823222,,98.823222,2026-01-14T11:34:12
912797RU3,2026-01-15T00:00:00,Bill,6-Week,2026,2026-01-15T00:00:00,2026-02-26T00:00:00,,2026-01-15T00:00:00,Single-Price,11:30 AM,75000000000,69.910000,225109059200,77456674200,2.970000,,,,,3.585000,3.480000,3.650000,,99.581750,,99.581750,2026-01-13T11:34:11
912810UP1,2026-01-15T00:00:00,Bond,29-Year 10-Month,2026,2026-01-15T00:00:00,2055-11-15T00:00:00,2025-11-15T00:00:00,2026-01-15T00:00:00,Single-Price,01:00 PM,22000000000,32.350000,59610053800,28403689800,2.420000,4.625000,4.8250,2.880000,4.780000,,,,,96.842230,,96.842230,2026-01-13T13:04:11
912797QD2,2026-01-15T00:00:00,Bill,13-Week,2026,2026-01-15T00:00:00,2026-04-16T00:00:00,,2026-01-15T00:00:00,Single-Price,01:00 PM,86000000000,12.520000,242635300200,88817540200,2.790000,,,,,3.570000,3.450000,3.653000,,99.097583,,99.097583,2026-01-12T13:04:07
912797TN7,2026-01-15T00:00:00,Bill,26-Week,2026,2026-01-15T00:00:00,2026-07-16T00:00:00,,2026-01-15T00:00:00,Single-Price,11:30 AM,77000000000,42.320000,246439474900,79522499700,3.170000,,,,,3.490000,3.400000,3.602000,,98.235611,,98.235611,2026-01-12T11:34:13
